verdict,group,path,bytes,class,purpose,sha256,evidence,referencers,git,backup,risk,approved,status
建议删除,Content/__ExternalActors__/ThirdPerson,Content/__ExternalActors__/ThirdPerson/Maps/ThirdPersonMap/0/43/HYQWORMY4JDQ5X3OKZXFLC.uasset,2448,WorldDataLayers,蓝图 / 数据 / 其他资源,4ee19a411c93433575bbc5f242543689e32d55dbbe6570e88b7a3bf2111052b3,"outside conservative runtime, tests and authoring dependency closure",,ignored,external local archive + SHA-256 manifest required,中,NO,已删除
建议删除,Content/__ExternalActors__/ThirdPerson,Content/__ExternalActors__/ThirdPerson/Maps/ThirdPersonMap/0/FG/C9C8NKPQ680JETAE5ROTT1.uasset,4137,StaticMeshActor,蓝图 / 数据 / 其他资源,26a9c4b8b0135ab39dd2c7232bc6fd5222153c1a6ae1b1b3a59064308ecbf949,"outside conservative runtime, tests and authoring dependency closure",,ignored,external local archive + SHA-256 manifest required,中,NO,已删除
建议删除,Content/__ExternalActors__/ThirdPerson,Content/__ExternalActors__/ThirdPerson/Maps/ThirdPersonMap/1/AZ/A7GPT109Y6ZTTJD4A7TXER.uasset,10766,PostProcessVolume,蓝图 / 数据 / 其他资源,7eea6251337f80ee118b398dd3f4510b44b51192c0f0df72fd066441a28edd6a,"outside conservative runtime, tests and authoring dependency closure",,ignored,external local archive + SHA-256 manifest required,中,NO,已删除
建议删除,Content/__ExternalActors__/ThirdPerson,Content/__ExternalActors__/ThirdPerson/Maps/ThirdPersonMap/1/HL/XWFFRCIJ8QK4NRO30ALA6J.uasset,4554,StaticMeshActor,蓝图 / 数据 / 其他资源,134118722de16cd0aad1727e9d5ef5765851dcb73741df56ea9d52640525d1ff,"outside conservative runtime, tests and authoring dependency closure",,ignored,external local archive + SHA-256 manifest required,中,NO,已删除
建议删除,Content/__ExternalActors__/ThirdPerson,Content/__ExternalActors__/ThirdPerson/Maps/ThirdPersonMap/1/WU/NB37RT5Q32Z8MJWD8BD2SO.uasset,3746,TextRenderActor,蓝图 / 数据 / 其他资源,2a950de824d75b53456bc7d5a97876d682d457346f0c68c6813243ae1d20a7ed,"outside conservative runtime, tests and authoring dependency closure",,ignored,external local archive + SHA-256 manifest required,中,NO,已删除
建议删除,Content/__ExternalActors__/ThirdPerson,Content/__ExternalActors__/ThirdPerson/Maps/ThirdPersonMap/3/EY/87SHEJN5UBEAN2K5OV1G6R.uasset,3300,VolumetricCloud,蓝图 / 数据 / 其他资源,e4c989858d18a8225c0a5634bd1a3e2231928cb930bc4305409a92515d251718,"outside conservative runtime, tests and authoring dependency closure",,ignored,external local archive + SHA-256 manifest required,中,NO,已删除
建议删除,Content/__ExternalActors__/ThirdPerson,Content/__ExternalActors__/ThirdPerson/Maps/ThirdPersonMap/3/M3/7JQC72ZY37QM4IT43WD5CW.uasset,4199,StaticMeshActor,蓝图 / 数据 / 其他资源,ba9d3017df6be4e582425ddff72fa45ad9bda55dd7e77cc2c92b593e102d27e8,"outside conservative runtime, tests and authoring dependency closure",,ignored,external local archive + SHA-256 manifest required,中,NO,已删除
建议删除,Content/__ExternalActors__/ThirdPerson,Content/__ExternalActors__/ThirdPerson/Maps/ThirdPersonMap/3/P3/O43ETCZTFMLWWH1CJ941H2.uasset,4259,StaticMeshActor,蓝图 / 数据 / 其他资源,5ded45078856631d1ab8563e6de64aeaa354de6c3090a9097c0df08da0b3d64a,"outside conservative runtime, tests and authoring dependency closure",,ignored,external local archive + SHA-256 manifest required,中,NO,已删除
建议删除,Content/__ExternalActors__/ThirdPerson,Content/__ExternalActors__/ThirdPerson/Maps/ThirdPersonMap/4/60/5PI42YRDC8HSSG6BVV2GRR.uasset,4085,StaticMeshActor,蓝图 / 数据 / 其他资源,c51681461cae9d5137ccb3514f07286cc1393f834cd3cd5c0d5ea5b39e0f8e34,"outside conservative runtime, tests and authoring dependency closure",,ignored,external local archive + SHA-256 manifest required,中,NO,已删除
建议删除,Content/__ExternalActors__/ThirdPerson,Content/__ExternalActors__/ThirdPerson/Maps/ThirdPersonMap/4/LN/30UBDLYFFA5ZR7U4W4L4GG.uasset,3601,SkyAtmosphere,蓝图 / 数据 / 其他资源,76809e6463a5a473052fd0b06d1eceae7ab76eb26f7838909059e402effa8058,"outside conservative runtime, tests and authoring dependency closure",,ignored,external local archive + SHA-256 manifest required,中,NO,已删除
建议删除,Content/__ExternalActors__/ThirdPerson,Content/__ExternalActors__/ThirdPerson/Maps/ThirdPersonMap/4/PN/2QISIGK5DJNQ05US8O8FXW.uasset,5015,StaticMeshActor,蓝图 / 数据 / 其他资源,f0430852d8e1b89c5eed000d70a3ac21911f13f72ea52c27e089ca04977a2327,"outside conservative runtime, tests and authoring dependency closure",,ignored,external local archive + SHA-256 manifest required,中,NO,已删除
建议删除,Content/__ExternalActors__/ThirdPerson,Content/__ExternalActors__/ThirdPerson/Maps/ThirdPersonMap/5/11/IM858T68EBXCBX1T2FNR96.uasset,4197,StaticMeshActor,蓝图 / 数据 / 其他资源,e9367a1410959cc3c30689e4f1a54e2480beb1d7184acf9293c175cf5c5cbf31,"outside conservative runtime, tests and authoring dependency closure",,ignored,external local archive + SHA-256 manifest required,中,NO,已删除
建议删除,Content/__ExternalActors__/ThirdPerson,Content/__ExternalActors__/ThirdPerson/Maps/ThirdPersonMap/5/7E/BEYC27T14FHBU6LF2F60RR.uasset,4554,StaticMeshActor,蓝图 / 数据 / 其他资源,94ff7ae787a3b54c77cac5b9b0bc6e63e88704c05e469eaa6467e173b366f453,"outside conservative runtime, tests and authoring dependency closure",,ignored,external local archive + SHA-256 manifest required,中,NO,已删除
建议删除,Content/__ExternalActors__/ThirdPerson,Content/__ExternalActors__/ThirdPerson/Maps/ThirdPersonMap/5/9Q/U98KGKQ41NJYFOGFQM8ZDY.uasset,4194,StaticMeshActor,蓝图 / 数据 / 其他资源,6592f57fe6d7e5e615ab8c7a20c93075ac6759ff61bb9631a6e057150dcc7d01,"outside conservative runtime, tests and authoring dependency closure",,ignored,external local archive + SHA-256 manifest required,中,NO,已删除
建议删除,Content/__ExternalActors__/ThirdPerson,Content/__ExternalActors__/ThirdPerson/Maps/ThirdPersonMap/5/QO/CO9MG7REJF8N8AQFYRCI06.uasset,4257,StaticMeshActor,蓝图 / 数据 / 其他资源,d256685e4d475994d589e81c57494da03f511aec8f3ee42deea129010c26442d,"outside conservative runtime, tests and authoring dependency closure",,ignored,external local archive + SHA-256 manifest required,中,NO,已删除
