verdict,group,path,bytes,class,purpose,sha256,evidence,referencers,git,backup,risk,approved
待核实,Content/__ExternalActors__/ThirdPerson,Content/__ExternalActors__/ThirdPerson/Maps/ThirdPersonMap/D/SY/Z4CTQ4LG3YV10EKPD0UE8Q.uasset,849,unknown,蓝图 / 数据 / 其他资源,,no AssetRegistry package record / sidecar; manual verification required,,ignored,external local archive + SHA-256 manifest required,高,NO
仍被使用,Content/AI/Enemy,Content/AI/Enemy/BB_HSREnemy_Exploration.uasset,4530,BlackboardData,蓝图 / 数据 / 其他资源,,Source/HSR/Data/Definitions/HSREnemyDefinition.h,/Game/AI/Enemy/BT_HSREnemy_Exploration,tracked,verified pushed commit + local archive,保留,NO
仍被使用,Content/AI/Enemy,Content/AI/Enemy/BT_HSREnemy_Exploration.uasset,30224,BehaviorTree,蓝图 / 数据 / 其他资源,,Source/HSR/Data/Definitions/HSREnemyDefinition.h,,tracked,verified pushed commit + local archive,保留,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Rifle/HitReact/MM_HitReact_Front_Med_01.uasset,224861,AnimSequence,角色 / 动作 / 重定向,,test / authoring dependency: Tools/Presentation/author_combat_animations.py,,ignored,external local archive + SHA-256 manifest required,中,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Unarmed/ABP_Unarmed.uasset,385641,AnimBlueprint,角色 / 动作 / 重定向,,test / authoring dependency: Tools/Presentation/rebuild_locomotion_from_source.py,,ignored,external local archive + SHA-256 manifest required,中,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Unarmed/Attack/MM_Attack_01.uasset,757029,AnimSequence,角色 / 动作 / 重定向,,test / authoring dependency: Tools/Presentation/author_combat_animations.py,,ignored,external local archive + SHA-256 manifest required,中,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Unarmed/Attack/MM_ChargedAttack.uasset,1057222,AnimSequence,角色 / 动作 / 重定向,,test / authoring dependency: Tools/Presentation/author_combat_animations.py,,ignored,external local archive + SHA-256 manifest required,中,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run.uasset,52021,BlendSpace,蓝图 / 数据 / 其他资源,,test / authoring dependency: dependency of /Game/Assets/Mannequins/Anims/Unarmed/ABP_Unarmed,/Game/Assets/Mannequins/Anims/Unarmed/ABP_Unarmed,ignored,external local archive + SHA-256 manifest required,中,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Bwd.uasset,482631,AnimSequence,角色 / 动作 / 重定向,,test / authoring dependency: dependency of /Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,/Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,ignored,external local archive + SHA-256 manifest required,中,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Bwd_Left.uasset,416946,AnimSequence,角色 / 动作 / 重定向,,test / authoring dependency: dependency of /Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,/Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,ignored,external local archive + SHA-256 manifest required,中,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Bwd_Right.uasset,416945,AnimSequence,角色 / 动作 / 重定向,,test / authoring dependency: dependency of /Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,/Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,ignored,external local archive + SHA-256 manifest required,中,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Fwd.uasset,531150,AnimSequence,角色 / 动作 / 重定向,,test / authoring dependency: dependency of /Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,/Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,ignored,external local archive + SHA-256 manifest required,中,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Fwd_Left.uasset,466336,AnimSequence,角色 / 动作 / 重定向,,test / authoring dependency: dependency of /Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,/Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,ignored,external local archive + SHA-256 manifest required,中,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Fwd_Right.uasset,466710,AnimSequence,角色 / 动作 / 重定向,,test / authoring dependency: dependency of /Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,/Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,ignored,external local archive + SHA-256 manifest required,中,NO
待核实,Content/Assets/Mannequins,Content/Assets/Mannequins/Anims/Unarmed/Jog/MF_Unarmed_Jog_Left.uasset,487228,AnimSequence,角色 / 动作 / 重定向,,test / authoring dependency: dependency of /Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,/Game/Assets/Mannequins/Anims/Unarmed/BS_Idle_Walk_Run,ignored,external local archive + SHA-256 manifest required,中,NO
