path,bytes,git,decision,reason
.agents/agents.md,96409,modified tracked,include,
.agents/skills/phase-next-steps/SKILL.md,3113,modified tracked,include,
.agents/skills/phase-next-steps/references/phase-workflow.md,5335,modified tracked,include,
ArtSource/Presentation/ItemIcons/Body.png,45632,untracked,include,
ArtSource/Presentation/ItemIcons/EquipmentIcons.blend,162457,untracked,include,
ArtSource/Presentation/ItemIcons/Feet.png,49100,untracked,include,
ArtSource/Presentation/ItemIcons/Hands.png,45248,untracked,include,
ArtSource/Presentation/ItemIcons/Head.png,47145,untracked,include,
ArtSource/Presentation/ItemIcons/LinkRope.png,42034,untracked,include,
ArtSource/Presentation/ItemIcons/Material.png,40699,untracked,include,
ArtSource/Presentation/ItemIcons/PlanarSphere.png,48630,untracked,include,
ArtSource/Presentation/ItemIcons/Weapon.png,40303,untracked,include,
ArtSource/Presentation/NightCityKit.blend,233128,untracked,include,
ArtSource/Presentation/NightCityKit.blend1,211418,untracked,exclude,local recovery copy
ArtSource/Presentation/Portraits/EvernightMoon.png,112860,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
ArtSource/Presentation/Portraits/Huohua.png,112860,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
ArtSource/Presentation/Portraits/Remiel.png,112860,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
ArtSource/Presentation/Portraits/Verina.png,112860,untracked,exclude,derived from local third-party character / animation assets; public redistribution evidence unavailable
ArtSource/Presentation/Quaternius/LICENSE,7169,untracked,include,
ArtSource/Presentation/Quaternius/QuaterniusCast.fbx,975980,untracked,include,
ArtSource/Presentation/Quaternius/QuaterniusDeath.fbx,1137148,untracked,include,
ArtSource/Presentation/Quaternius/QuaterniusHeal.fbx,975980,untracked,include,
ArtSource/Presentation/Quaternius/README.md,1272,untracked,include,
ArtSource/Presentation/README.md,1477,untracked,include,
ArtSource/Presentation/SM_Arch.fbx,23276,untracked,include,
